snf_grant_number;year;research_area;amount_granted;role;research_institution;research_institution_type;country;iso_code;continent;partner_budget;world_region;person_id
179123;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;6880
212554;2022;Biology and Medicine;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;4970
192802;2020;Biology and Medicine;NA;Projektpartner;Swiss Institute of Bioinformatics – SIB;Other research institutions;Switzerland;CH;Europe;NA;Europe;16542
208177;2022;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;11259
204651;2021;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;8151
182144;2018;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;16081
207424;2022;"Mathematics, Natural and
Engineering Sciences";188242;Co-applicants;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;6787
179017;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1659
212358;2022;Biology and Medicine;573589;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;7856
200607;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Portugal;PT;Europe;NA;Europe;15461
175458;2017;Biology and Medicine;700000;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;8713
173131;2017;Biology and Medicine;NA;Projektpartner;NA;NA;Kyrgyzstan;KG;Asia;NA;Asia;8108
176022;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;14509
179084;2018;"Mathematics, Natural and
Engineering Sciences";1203234;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;9505
192453;2020;Biology and Medicine;647037;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;2448
208120;2022;Biology and Medicine;803128;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;3863
182536;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Argentina;AR;South America;NA;Latin America;8646
200946;2021;Humanities and Social Sciences;NA;Projektpartner;University of St.Gallen – SG;Cantonal University;Switzerland;CH;Europe;NA;Europe;8252
207384;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;14129
178895;2018;"Mathematics, Natural and
Engineering Sciences";518032;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;7877
