grant_id;is_approved;research_area;n_partners
1;FALSE;"Mathematics, Natural and
Engineering Sciences";0
2;FALSE;Humanities and Social Sciences;0
3;TRUE;"Mathematics, Natural and
Engineering Sciences";5
4;FALSE;"Mathematics, Natural and
Engineering Sciences";3
5;TRUE;Biology and Medicine;0
6;FALSE;Biology and Medicine;0
7;TRUE;Humanities and Social Sciences;0
8;TRUE;Humanities and Social Sciences;4
9;TRUE;Biology and Medicine;1
10;FALSE;Humanities and Social Sciences;3
11;FALSE;"Mathematics, Natural and
Engineering Sciences";1
12;FALSE;Biology and Medicine;4
13;TRUE;Biology and Medicine;0
14;FALSE;"Mathematics, Natural and
Engineering Sciences";0
15;FALSE;Humanities and Social Sciences;0
16;FALSE;"Mathematics, Natural and
Engineering Sciences";3
17;FALSE;Biology and Medicine;1
18;TRUE;Humanities and Social Sciences;1
19;TRUE;Biology and Medicine;0
20;FALSE;Humanities and Social Sciences;2
21;TRUE;Biology and Medicine;0
22;TRUE;Biology and Medicine;4
23;TRUE;Biology and Medicine;8
24;TRUE;"Mathematics, Natural and
Engineering Sciences";0
25;FALSE;Humanities and Social Sciences;0
26;TRUE;Biology and Medicine;0
27;FALSE;Humanities and Social Sciences;0
28;TRUE;Humanities and Social Sciences;4
29;TRUE;"Mathematics, Natural and
Engineering Sciences";0
30;TRUE;Biology and Medicine;0
31;FALSE;"Mathematics, Natural and
Engineering Sciences";9
32;TRUE;Humanities and Social Sciences;1
33;FALSE;Biology and Medicine;0
34;TRUE;Humanities and Social Sciences;4
35;FALSE;Humanities and Social Sciences;4
36;TRUE;Biology and Medicine;2
37;TRUE;Humanities and Social Sciences;3
38;TRUE;Biology and Medicine;2
39;TRUE;Humanities and Social Sciences;1
40;FALSE;Biology and Medicine;6
41;FALSE;"Mathematics, Natural and
Engineering Sciences";0
42;TRUE;Biology and Medicine;0
43;FALSE;Humanities and Social Sciences;3
44;TRUE;"Mathematics, Natural and
Engineering Sciences";0
45;FALSE;Biology and Medicine;3
46;FALSE;Humanities and Social Sciences;0
47;TRUE;Biology and Medicine;2
48;FALSE;Humanities and Social Sciences;3
49;FALSE;"Mathematics, Natural and
Engineering Sciences";1
50;TRUE;Humanities and Social Sciences;0
51;TRUE;"Mathematics, Natural and
Engineering Sciences";6
52;FALSE;Humanities and Social Sciences;9
53;TRUE;Humanities and Social Sciences;1
54;FALSE;Biology and Medicine;5
55;FALSE;Humanities and Social Sciences;1
56;FALSE;"Mathematics, Natural and
Engineering Sciences";2
57;FALSE;Biology and Medicine;2
58;TRUE;"Mathematics, Natural and
Engineering Sciences";0
59;FALSE;Humanities and Social Sciences;4
60;FALSE;Humanities and Social Sciences;1
61;FALSE;Biology and Medicine;1
62;FALSE;Humanities and Social Sciences;1
63;TRUE;Humanities and Social Sciences;1
64;FALSE;Biology and Medicine;0
65;FALSE;Biology and Medicine;0
66;TRUE;"Mathematics, Natural and
Engineering Sciences";0
67;FALSE;"Mathematics, Natural and
Engineering Sciences";2
68;TRUE;"Mathematics, Natural and
Engineering Sciences";0
69;FALSE;"Mathematics, Natural and
Engineering Sciences";0
70;FALSE;Biology and Medicine;3
71;FALSE;"Mathematics, Natural and
Engineering Sciences";1
72;TRUE;Humanities and Social Sciences;0
73;FALSE;"Mathematics, Natural and
Engineering Sciences";5
74;FALSE;Humanities and Social Sciences;0
75;TRUE;Humanities and Social Sciences;3
76;TRUE;"Mathematics, Natural and
Engineering Sciences";0
77;TRUE;"Mathematics, Natural and
Engineering Sciences";0
78;FALSE;Humanities and Social Sciences;0
79;TRUE;Humanities and Social Sciences;5
80;TRUE;"Mathematics, Natural and
Engineering Sciences";5
81;TRUE;Biology and Medicine;0
82;FALSE;Humanities and Social Sciences;0
83;TRUE;Humanities and Social Sciences;1
84;FALSE;Humanities and Social Sciences;0
85;TRUE;Humanities and Social Sciences;5
86;FALSE;Humanities and Social Sciences;0
87;TRUE;"Mathematics, Natural and
Engineering Sciences";5
88;TRUE;Biology and Medicine;0
89;TRUE;"Mathematics, Natural and
Engineering Sciences";0
90;TRUE;"Mathematics, Natural and
Engineering Sciences";0
91;TRUE;Biology and Medicine;0
92;TRUE;Biology and Medicine;0
93;TRUE;Biology and Medicine;2
94;FALSE;Humanities and Social Sciences;7
95;TRUE;Biology and Medicine;0
96;FALSE;Biology and Medicine;5
97;FALSE;Humanities and Social Sciences;0
98;FALSE;"Mathematics, Natural and
Engineering Sciences";3
99;FALSE;Humanities and Social Sciences;1
100;TRUE;Biology and Medicine;2
101;TRUE;Biology and Medicine;0
102;FALSE;Biology and Medicine;0
103;TRUE;"Mathematics, Natural and
Engineering Sciences";1
104;TRUE;Biology and Medicine;2
105;FALSE;Humanities and Social Sciences;0
106;TRUE;Biology and Medicine;5
107;FALSE;"Mathematics, Natural and
Engineering Sciences";1
108;TRUE;"Mathematics, Natural and
Engineering Sciences";0
109;TRUE;Biology and Medicine;3
110;FALSE;Humanities and Social Sciences;0
111;TRUE;Humanities and Social Sciences;10
112;FALSE;"Mathematics, Natural and
Engineering Sciences";2
113;FALSE;Biology and Medicine;1
114;TRUE;Humanities and Social Sciences;0
115;FALSE;Humanities and Social Sciences;6
116;TRUE;"Mathematics, Natural and
Engineering Sciences";0
117;FALSE;"Mathematics, Natural and
Engineering Sciences";1
118;FALSE;Biology and Medicine;4
119;TRUE;"Mathematics, Natural and
Engineering Sciences";11
120;FALSE;"Mathematics, Natural and
Engineering Sciences";0
121;FALSE;Biology and Medicine;0
122;FALSE;Biology and Medicine;4
123;TRUE;Biology and Medicine;0
124;TRUE;Biology and Medicine;0
125;FALSE;"Mathematics, Natural and
Engineering Sciences";1
126;FALSE;Biology and Medicine;0
127;TRUE;Biology and Medicine;0
128;FALSE;Humanities and Social Sciences;0
129;TRUE;Humanities and Social Sciences;0
130;TRUE;Humanities and Social Sciences;1
131;TRUE;"Mathematics, Natural and
Engineering Sciences";0
132;FALSE;"Mathematics, Natural and
Engineering Sciences";0
133;FALSE;Humanities and Social Sciences;2
134;FALSE;"Mathematics, Natural and
Engineering Sciences";0
135;TRUE;Humanities and Social Sciences;9
136;FALSE;Biology and Medicine;0
137;FALSE;Biology and Medicine;9
138;FALSE;Biology and Medicine;4
139;FALSE;Biology and Medicine;0
140;TRUE;Biology and Medicine;0
141;FALSE;"Mathematics, Natural and
Engineering Sciences";3
142;FALSE;Humanities and Social Sciences;0
143;TRUE;"Mathematics, Natural and
Engineering Sciences";0
144;FALSE;Humanities and Social Sciences;0
145;TRUE;"Mathematics, Natural and
Engineering Sciences";3
146;TRUE;Humanities and Social Sciences;0
147;TRUE;"Mathematics, Natural and
Engineering Sciences";0
148;TRUE;Biology and Medicine;2
149;FALSE;Biology and Medicine;0
150;FALSE;Biology and Medicine;1
151;TRUE;Biology and Medicine;3
152;FALSE;Biology and Medicine;0
153;FALSE;Biology and Medicine;0
154;TRUE;"Mathematics, Natural and
Engineering Sciences";5
155;TRUE;"Mathematics, Natural and
Engineering Sciences";2
156;FALSE;"Mathematics, Natural and
Engineering Sciences";1
157;TRUE;Biology and Medicine;0
158;FALSE;Biology and Medicine;1
159;TRUE;"Mathematics, Natural and
Engineering Sciences";0
160;TRUE;"Mathematics, Natural and
Engineering Sciences";1
161;FALSE;"Mathematics, Natural and
Engineering Sciences";1
162;FALSE;Humanities and Social Sciences;5
163;TRUE;"Mathematics, Natural and
Engineering Sciences";0
164;TRUE;"Mathematics, Natural and
Engineering Sciences";0
165;FALSE;Biology and Medicine;5
166;FALSE;"Mathematics, Natural and
Engineering Sciences";1
167;FALSE;Biology and Medicine;8
168;TRUE;Biology and Medicine;0
169;FALSE;Biology and Medicine;5
170;TRUE;Humanities and Social Sciences;0
171;FALSE;"Mathematics, Natural and
Engineering Sciences";4
172;FALSE;Humanities and Social Sciences;3
173;FALSE;Biology and Medicine;5
174;FALSE;Humanities and Social Sciences;0
175;TRUE;Biology and Medicine;9
176;TRUE;Biology and Medicine;0
177;TRUE;"Mathematics, Natural and
Engineering Sciences";0
178;FALSE;Humanities and Social Sciences;3
179;FALSE;"Mathematics, Natural and
Engineering Sciences";0
180;FALSE;"Mathematics, Natural and
Engineering Sciences";3
181;TRUE;Biology and Medicine;1
182;TRUE;"Mathematics, Natural and
Engineering Sciences";2
183;TRUE;"Mathematics, Natural and
Engineering Sciences";3
184;TRUE;Humanities and Social Sciences;0
185;FALSE;"Mathematics, Natural and
Engineering Sciences";0
186;TRUE;"Mathematics, Natural and
Engineering Sciences";1
187;TRUE;"Mathematics, Natural and
Engineering Sciences";3
188;TRUE;Humanities and Social Sciences;2
189;FALSE;Humanities and Social Sciences;2
190;FALSE;"Mathematics, Natural and
Engineering Sciences";0
191;TRUE;Biology and Medicine;3
192;TRUE;"Mathematics, Natural and
Engineering Sciences";0
193;FALSE;Humanities and Social Sciences;3
194;FALSE;Biology and Medicine;8
195;FALSE;Humanities and Social Sciences;9
196;TRUE;Biology and Medicine;1
197;TRUE;Humanities and Social Sciences;0
198;FALSE;Humanities and Social Sciences;2
199;FALSE;"Mathematics, Natural and
Engineering Sciences";0
200;TRUE;"Mathematics, Natural and
Engineering Sciences";0
201;TRUE;Humanities and Social Sciences;3
202;FALSE;Biology and Medicine;1
203;TRUE;Biology and Medicine;1
204;FALSE;Humanities and Social Sciences;0
205;FALSE;Humanities and Social Sciences;4
206;TRUE;Humanities and Social Sciences;0
207;FALSE;Humanities and Social Sciences;0
208;FALSE;Humanities and Social Sciences;0
209;FALSE;"Mathematics, Natural and
Engineering Sciences";3
210;TRUE;Humanities and Social Sciences;2
211;TRUE;Biology and Medicine;0
212;TRUE;Biology and Medicine;0
213;FALSE;"Mathematics, Natural and
Engineering Sciences";4
214;TRUE;"Mathematics, Natural and
Engineering Sciences";0
215;TRUE;Biology and Medicine;0
216;TRUE;Biology and Medicine;5
217;TRUE;Biology and Medicine;4
218;TRUE;"Mathematics, Natural and
Engineering Sciences";1
219;FALSE;Humanities and Social Sciences;1
220;FALSE;Humanities and Social Sciences;0
221;FALSE;Biology and Medicine;1
222;FALSE;"Mathematics, Natural and
Engineering Sciences";0
223;FALSE;Biology and Medicine;3
224;TRUE;Biology and Medicine;0
225;TRUE;Biology and Medicine;1
226;TRUE;Humanities and Social Sciences;4
227;TRUE;Biology and Medicine;1
228;FALSE;Humanities and Social Sciences;2
229;FALSE;Biology and Medicine;5
230;TRUE;Humanities and Social Sciences;0
231;FALSE;Humanities and Social Sciences;4
232;TRUE;"Mathematics, Natural and
Engineering Sciences";0
233;FALSE;Biology and Medicine;2
234;TRUE;"Mathematics, Natural and
Engineering Sciences";0
235;FALSE;Biology and Medicine;3
236;FALSE;"Mathematics, Natural and
Engineering Sciences";4
237;TRUE;"Mathematics, Natural and
Engineering Sciences";0
238;TRUE;Humanities and Social Sciences;6
239;FALSE;Humanities and Social Sciences;9
240;FALSE;"Mathematics, Natural and
Engineering Sciences";0
241;FALSE;"Mathematics, Natural and
Engineering Sciences";2
242;FALSE;"Mathematics, Natural and
Engineering Sciences";2
243;FALSE;"Mathematics, Natural and
Engineering Sciences";3
244;TRUE;Biology and Medicine;2
245;TRUE;"Mathematics, Natural and
Engineering Sciences";0
246;FALSE;"Mathematics, Natural and
Engineering Sciences";0
247;FALSE;Humanities and Social Sciences;0
248;TRUE;Humanities and Social Sciences;0
249;FALSE;Biology and Medicine;0
250;FALSE;Humanities and Social Sciences;2
251;FALSE;Humanities and Social Sciences;3
252;TRUE;Biology and Medicine;2
253;TRUE;Biology and Medicine;0
254;FALSE;Biology and Medicine;0
255;TRUE;"Mathematics, Natural and
Engineering Sciences";0
256;TRUE;Biology and Medicine;0
257;TRUE;"Mathematics, Natural and
Engineering Sciences";1
258;TRUE;Biology and Medicine;3
259;TRUE;Humanities and Social Sciences;8
260;FALSE;Biology and Medicine;1
261;FALSE;"Mathematics, Natural and
Engineering Sciences";14
262;TRUE;Biology and Medicine;1
263;FALSE;Biology and Medicine;1
264;TRUE;Humanities and Social Sciences;0
265;TRUE;Biology and Medicine;0
266;TRUE;"Mathematics, Natural and
Engineering Sciences";1
267;FALSE;Biology and Medicine;2
268;TRUE;"Mathematics, Natural and
Engineering Sciences";0
269;TRUE;Biology and Medicine;0
270;FALSE;Biology and Medicine;2
271;TRUE;"Mathematics, Natural and
Engineering Sciences";0
272;FALSE;"Mathematics, Natural and
Engineering Sciences";1
273;FALSE;Humanities and Social Sciences;1
274;TRUE;"Mathematics, Natural and
Engineering Sciences";0
275;FALSE;Biology and Medicine;0
276;FALSE;"Mathematics, Natural and
Engineering Sciences";2
277;TRUE;Biology and Medicine;0
278;FALSE;Humanities and Social Sciences;0
279;TRUE;"Mathematics, Natural and
Engineering Sciences";0
280;TRUE;Humanities and Social Sciences;1
281;FALSE;"Mathematics, Natural and
Engineering Sciences";3
282;FALSE;Humanities and Social Sciences;0
283;FALSE;Humanities and Social Sciences;0
284;TRUE;Humanities and Social Sciences;0
285;FALSE;"Mathematics, Natural and
Engineering Sciences";0
286;TRUE;Humanities and Social Sciences;1
287;TRUE;Humanities and Social Sciences;0
288;TRUE;"Mathematics, Natural and
Engineering Sciences";0
289;FALSE;Biology and Medicine;0
290;TRUE;Biology and Medicine;3
291;TRUE;"Mathematics, Natural and
Engineering Sciences";5
292;TRUE;Biology and Medicine;3
293;TRUE;Biology and Medicine;0
294;FALSE;"Mathematics, Natural and
Engineering Sciences";3
295;TRUE;Biology and Medicine;1
296;TRUE;Biology and Medicine;0
297;FALSE;Biology and Medicine;1
298;TRUE;Humanities and Social Sciences;0
299;FALSE;Humanities and Social Sciences;1
300;TRUE;Biology and Medicine;6
301;TRUE;Humanities and Social Sciences;0
302;TRUE;Humanities and Social Sciences;0
303;TRUE;"Mathematics, Natural and
Engineering Sciences";1
304;FALSE;Biology and Medicine;0
305;TRUE;Humanities and Social Sciences;0
306;FALSE;Biology and Medicine;0
307;TRUE;"Mathematics, Natural and
Engineering Sciences";0
308;FALSE;Humanities and Social Sciences;0
